locationdesc,category,response,age,gender,raceethnicity,data_value(%),low_confidence_limit,high_confidence_limit,numerator,sample_size,locationid,longitude,latitude
Nebraska,Disorders of Optic Nerve and Visual Pathways,All Disorders of optic nerve and visual pathways,40 years and older,Male,North American Native,0.0,0.0,1.52,30.0,240.0,31,-99.36572062299,41.641040988
California,Cancer and Neoplasms of the Eye,Benign neoplasm,0-17 years,Female,North American Native,0.13,0.09,0.22,250.0,136000.0,6,-120.9999995379,37.638640123
Kentucky,Cancer and Neoplasms of the Eye,Benign neoplasm,18-39 years,Male,Asian,0.02,0.01,0.56,90.0,7000.0,21,-84.77497104799,37.645970271
North Carolina,Other Visual Disturbances,Visual field defect,40 years and older,Male,North American Native,0.06,0.03,0.33,70.0,8700.0,37,-79.15925046299,35.466220975
Oklahoma,Diabetic Eye Diseases,Non-vision threatening stage,40 years and older,Female,"Black, non-Hispanic",1.12,0.86,1.43,60.0,5600.0,40,-97.52107021399,35.472031356
Wisconsin,Other Retinal Disorders,Macular edema (Cystoid or non-diabetic),65-84 years,Male,"Hispanic, any race",0.0,0.0,2.06,70.0,180.0,55,-89.81637074199,44.393191174
District Of Columbia,Cornea Disorders,Corneal transplant,18-39 years,All genders,"Hispanic, any race",0.0,0.0,0.19,50.0,1900.0,11,-77.03196112699,38.890371385
South Dakota,Disorders of Optic Nerve and Visual Pathways,All Disorders of optic nerve and visual pathways,85 years and older,Male,"White, non-Hispanic",0.0,0.0,0.61,40.0,1750.0,46,-100.3735306369,44.353130053
Louisiana,Age Related Macular Degeneration,Vision threatening stage,40-64 years,All genders,Unknown,0.03,0.02,0.04,40.0,121800.0,22,-92.44568007099,31.312660644
District Of Columbia,"Injury, Burns and Surgical Complications of the Eye","All Injury, burns and surgical complications of the eye",40-64 years,Male,Unknown,0.93,0.72,1.18,70.0,7100.0,11,-77.03196112699,38.890371385
Louisiana,Infectious and Inflammatory Diseases,Eyelid infection and inflammation,40-64 years,All genders,Unknown,0.86,0.81,0.91,1000.0,121800.0,22,-92.44568007099,31.312660644
Ohio,Orbital and External Disease,Eyelid disorders,65-84 years,Female,"Hispanic, any race",3.19,1.9,4.99,20.0,570.0,39,-82.40426005599,40.060210141
Ohio,Cancer and Neoplasms of the Eye,All Cancer and neoplasms of the eye diseases,All ages,Female,All races,0.17,0.16,0.17,2400.0,1453500.0,39,-82.40426005599,40.060210141
South Dakota,Age Related Macular Degeneration,Unspecified-age related macular degeneration,18 years and older,All genders,Asian,0.0,0.0,0.9,40.0,410.0,46,-100.3735306369,44.353130053
California,Diabetic Eye Diseases,Diabetic macular edema,0-17 years,Male,"Hispanic, any race",0.0,0.0,0.0,250.0,1435300.0,6,-120.9999995379,37.638640123
Hawaii,Age Related Macular Degeneration,Dry-form age-related macular degeneration,18 years and older,Male,"White, non-Hispanic",0.18,0.12,0.25,30.0,19200.0,15,-157.8577494029,21.304850435
Kentucky,Diabetic Eye Diseases,Severe non-proliferative,All ages,Female,Other,0.0,0.0,0.86,90.0,430.0,21,-84.77497104799,37.645970271
Georgia,Other Visual Disturbances,Visual field defect,All ages,Male,North American Native,0.0,0.0,0.28,90.0,1300.0,13,-83.62758034599,32.839681093
Kansas,Age Related Macular Degeneration,Non-vision threatening stage,All ages,All genders,Unknown,0.05,0.04,0.06,160.0,314500.0,20,-98.20078122699,38.3477403
Tennessee,Age Related Macular Degeneration,Non-vision threatening stage,0-17 years,All genders,Unknown,0.0,0.0,0.0,20.0,762700.0,47,-85.77449091399,35.68094058
South Dakota,Glaucoma,Open-angle glaucoma,40 years and older,Male,Asian,0.0,0.0,10.58,40.0,30.0,46,-100.3735306369,44.353130053
Mississippi,Other Retinal Disorders,Macular edema (Cystoid or non-diabetic),All ages,Male,Other,0.0,0.0,2.7,90.0,140.0,28,-89.53803082499,32.745510099
Nevada,Orbital and External Disease,Dry eye syndrome,All ages,Female,"Hispanic, any race",1.55,1.49,1.62,2100.0,138100.0,32,-117.0718405639,39.49324039
Nebraska,Diabetic Eye Diseases,Proliferative diabetic retinopathy,65 years and older,All genders,Unknown,0.0,0.0,2.2,30.0,170.0,31,-99.36572062299,41.641040988
Pennsylvania,Retinal Detachment and Defects,Retinal detachment and defects,40-64 years,Male,Other,0.06,0.04,0.3,160.0,40200.0,42,-77.86070029399,40.793730152
Hawaii,Cancer and Neoplasms of the Eye,Malignant neoplasm,All ages,Male,North American Native,0.1,0.05,0.45,60.0,7900.0,15,-157.8577494029,21.304850435
Arkansas,Infectious and Inflammatory Diseases,Endophthalmitis,40 years and older,Male,North American Native,0.0,0.0,0.58,90.0,630.0,5,-92.27449074299,34.748650124
Michigan,Other Retinal Disorders,Occlusive retinal vascular disease,All ages,Female,Other,0.0,0.0,0.33,110.0,1100.0,26,-84.71439026999,44.661319543
South Dakota,Infectious and Inflammatory Diseases,Infectious diseases,65-84 years,Female,North American Native,0.0,0.0,0.61,40.0,1750.0,46,-100.3735306369,44.353130053
District Of Columbia,Orbital and External Disease,Congenital anomalies,40-64 years,Female,North American Native,0.0,0.0,0.7,50.0,1300.0,11,-77.03196112699,38.890371385
North Dakota,Cornea Disorders,Corneal transplant,18-39 years,All genders,Asian,0.0,0.0,0.51,30.0,720.0,38,-100.1184210489,47.475319779
Wyoming,Other Retinal Disorders,All Other retinal disorders,All ages,Male,All races,0.25,0.1,0.51,20.0,2800.0,56,-108.1098303529,43.235541343
Colorado,Orbital and External Disease,Dry eye syndrome,65-84 years,All genders,All races,4.73,4.0,5.54,140.0,3000.0,8,-106.1336109209,38.843840757
Iowa,Age Related Macular Degeneration,Non-vision threatening stage,65-84 years,All genders,"Hispanic, any race",0.07,0.03,0.28,70.0,11900.0,19,-93.81649055599,42.469400913
Puerto Rico,Age Related Macular Degeneration,Geographic atrophy,40-64 years,Female,All races,0.01,0.0,0.01,90.0,180600.0,72,-66.590149,18.220833
Indiana,Cornea Disorders,All Cornea disorders,18 years and older,Female,All races,0.19,0.17,0.2,780.0,420000.0,18,-86.14996019399,39.766910452
Wyoming,Age Related Macular Degeneration,Geographic atrophy,18 years and older,All genders,All races,0.0,0.0,1.01,20.0,360.0,56,-108.1098303529,43.235541343
Missouri,Glaucoma,Other/unspecified glaucoma,All ages,Male,Asian,0.04,0.02,0.59,60.0,3900.0,29,-92.56630005299,38.635790776
Oklahoma,Cornea Disorders,All Cornea disorders,All ages,Male,All races,0.1,0.09,0.11,350.0,349000.0,40,-97.52107021399,35.472031356
Oklahoma,Other Visual Disturbances,Visual field defect,65 years and older,Male,Unknown,0.04,0.02,0.42,60.0,6700.0,40,-97.52107021399,35.472031356
Texas,Cancer and Neoplasms of the Eye,All Cancer and neoplasms of the eye diseases,40 years and older,All genders,"White, non-Hispanic",0.32,0.27,0.36,210.0,66600.0,48,-99.42677020599,31.827240407
North Carolina,Diabetic Eye Diseases,Diabetic macular edema,All ages,All genders,"Hispanic, any race",0.03,0.03,0.04,100.0,311000.0,37,-79.15925046299,35.466220975
Washington,Diabetic Eye Diseases,Diabetic macular edema,0-17 years,Female,Asian,0.0,0.0,0.03,90.0,13400.0,53,-120.4700107899,47.522278629
North Dakota,Other Retinal Disorders,Occlusive retinal vascular disease,All ages,All genders,"Hispanic, any race",0.0,0.0,0.07,30.0,5400.0,38,-100.1184210489,47.475319779
Georgia,Other Retinal Disorders,Other/unspecified other retinal disorders,All ages,All genders,North American Native,0.03,0.02,0.47,90.0,7000.0,13,-83.62758034599,32.839681093
North Carolina,Diabetic Eye Diseases,Other diabetes related eye disorders,40 years and older,Male,North American Native,0.06,0.03,0.33,70.0,8700.0,37,-79.15925046299,35.466220975
Wyoming,Other Retinal Disorders,Other/unspecified other retinal disorders,0-17 years,Female,All races,0.0,0.0,1.92,20.0,210.0,56,-108.1098303529,43.235541343
Florida,Orbital and External Disease,Dry eye syndrome,85 years and older,Female,North American Native,0.09,0.06,0.24,100.0,36300.0,12,-81.92896053899,28.932040377
North Dakota,Cancer and Neoplasms of the Eye,Malignant neoplasm,40-64 years,All genders,"Black, non-Hispanic",0.0,0.0,0.39,30.0,940.0,38,-100.1184210489,47.475319779
Oregon,Other Eye Disorders,Other eye disorders,0-17 years,Male,Other,0.9,0.47,1.57,10.0,1300.0,41,-120.1550313259,44.567449424
Oregon,Other Retinal Disorders,Branch retinal vein occlusion,65 years and older,All genders,All races,0.2,0.12,0.31,20.0,10500.0,41,-120.1550313259,44.567449424
Colorado,Orbital and External Disease,Congenital anomalies,65 years and older,Female,Asian,0.0,0.0,0.99,80.0,370.0,8,-106.1336109209,38.843840757
Arizona,Cancer and Neoplasms of the Eye,Benign neoplasm,18 years and older,All genders,North American Native,0.13,0.11,0.16,130.0,101600.0,4,-111.7638112769,34.86597028
Iowa,Age Related Macular Degeneration,Wet-form age-related macular degeneration,65 years and older,Male,"White, non-Hispanic",0.07,0.03,0.28,70.0,11900.0,19,-93.81649055599,42.469400913
Maryland,Cancer and Neoplasms of the Eye,All Cancer and neoplasms of the eye diseases,65-84 years,All genders,Unknown,0.55,0.11,1.6,120.0,550.0,24,-76.60926011099,39.290580964
Delaware,Diabetic Eye Diseases,Severe non-proliferative,0-17 years,Female,"Hispanic, any race",0.0,0.0,0.03,60.0,11900.0,10,-75.57774116799,39.008830667
Iowa,Glaucoma,All Glaucoma,40-64 years,Male,North American Native,1.49,0.6,3.05,70.0,470.0,19,-93.81649055599,42.469400913
Mississippi,Other Retinal Disorders,Myopic degeneration,40 years and older,All genders,"Hispanic, any race",0.0,0.0,4.8,90.0,80.0,28,-89.53803082499,32.745510099
Minnesota,Infectious and Inflammatory Diseases,Eyelid infection and inflammation,85 years and older,All genders,Other,0.1,0.06,0.4,80.0,13100.0,27,-94.79420050299,46.355648736
District Of Columbia,Infectious and Inflammatory Diseases,All Infectious and inflammatory diseases,18 years and older,Female,"Hispanic, any race",3.21,2.44,4.15,60.0,1700.0,11,-77.03196112699,38.890371385
Pennsylvania,Orbital and External Disease,Dry eye syndrome,All ages,Male,Other,0.39,0.14,0.85,160.0,1500.0,42,-77.86070029399,40.793730152
Washington,Diabetic Eye Diseases,Other diabetes related eye disorders,65 years and older,Male,Unknown,0.07,0.04,0.25,90.0,23200.0,53,-120.4700107899,47.522278629
Massachusetts,Age Related Macular Degeneration,All Age-related macular degeneration (AMD),85 years and older,Female,All races,6.6299999999,4.34,9.6299999999,20.0,380.0,25,-72.08269067499,42.27687047
Nebraska,Other Eye Disorders,Other eye disorders,40 years and older,All genders,"White, non-Hispanic",1.48,1.27,1.72,170.0,11700.0,31,-99.36572062299,41.641040988
South Carolina,Disorders of Optic Nerve and Visual Pathways,Disorders of the visual pathway and visual cortex,40 years and older,Male,All races,0.0,0.0,0.01,90.0,34700.0,45,-81.04537120699,33.998821303
West Virginia,Other Visual Disturbances,Night blindness,0-17 years,All genders,"Black, non-Hispanic",0.0,0.0,0.05,60.0,6700.0,54,-80.71264013499,38.665510202
Illinois,Other Retinal Disorders,Hereditary chorioretinal dystrophy,18 years and older,All genders,All races,0.04,0.04,0.04,540.0,1375500.0,17,-88.99771017799,40.485010283
Washington,Cornea Disorders,Other corneal disorders,18-39 years,Female,Other,0.07,0.04,0.12,10.0,18000.0,53,-120.4700107899,47.522278629
Michigan,Diabetic Eye Diseases,All Diabetic eye diseases,0-17 years,All genders,North American Native,0.0,0.0,0.04,110.0,10100.0,26,-84.71439026999,44.661319543
New Jersey,Disorders of Optic Nerve and Visual Pathways,Disorders of the visual pathway and visual cortex,18-39 years,Male,All races,0.21,0.14,0.48,120.0,29000.0,34,-74.27369128799,40.130570048
Texas,Diabetic Eye Diseases,Severe non-proliferative,65-84 years,Male,"Black, non-Hispanic",0.0,0.0,2.51,120.0,150.0,48,-99.42677020599,31.827240407
North Dakota,Orbital and External Disease,Dry eye syndrome,40 years and older,Female,Asian,2.58,0.95,5.52,30.0,230.0,38,-100.1184210489,47.475319779
Montana,Other Visual Disturbances,All Other visual disturbances,65-84 years,Male,All races,2.48,0.51,7.0699999999,60.0,120.0,30,-109.4244206449,47.066528972
Indiana,Diabetic Eye Diseases,Severe non-proliferative,85 years and older,All genders,Unknown,0.0,0.0,3.24,70.0,110.0,18,-86.14996019399,39.766910452
Idaho,Diabetic Eye Diseases,Vision threatening stage,65-84 years,Male,"White, non-Hispanic",0.85,0.23,2.16,60.0,470.0,16,-114.3637300419,43.682630005
Florida,Other Visual Disturbances,Other/unspecified visual disturbances,65 years and older,Female,Asian,0.7,0.3,1.37,100.0,1200.0,12,-81.92896053899,28.932040377
Colorado,Other Retinal Disorders,Branch retinal vein occlusion,0-17 years,Female,All races,0.08,0.04,0.34,80.0,11200.0,8,-106.1336109209,38.843840757
Delaware,Other Retinal Disorders,Branch retinal vein occlusion,0-17 years,Male,Other,0.0,0.0,5.52,60.0,70.0,10,-75.57774116799,39.008830667
Minnesota,Cancer and Neoplasms of the Eye,Malignant neoplasm,18 years and older,Male,Other,0.0,0.0,0.7,80.0,530.0,27,-94.79420050299,46.355648736
Montana,"Injury, Burns and Surgical Complications of the Eye",Surgical complication of the eye,18-39 years,Female,Other,0.0,0.0,1.11,60.0,330.0,30,-109.4244206449,47.066528972
South Carolina,Cornea Disorders,Corneal transplant,18 years and older,Female,Asian,0.0,0.0,0.3,90.0,1200.0,45,-81.04537120699,33.998821303
Pennsylvania,Orbital and External Disease,Disorders of the globe,65 years and older,Male,"White, non-Hispanic",0.06,0.04,0.3,160.0,40200.0,42,-77.86070029399,40.793730152
Delaware,Age Related Macular Degeneration,Non-vision threatening stage,18-39 years,Female,Asian,0.02,0.01,0.89,60.0,3400.0,10,-75.57774116799,39.008830667
New Hampshire,Glaucoma,Open-angle glaucoma,85 years and older,Male,"White, non-Hispanic",0.01,0.0,0.76,40.0,1200.0,33,-71.50036091999,43.655950113
Arizona,Infectious and Inflammatory Diseases,Other/unspecified infectious and inflammatory diseases,40-64 years,Male,"Hispanic, any race",0.26,0.05,0.77,90.0,1100.0,4,-111.7638112769,34.86597028
North Carolina,Cornea Disorders,Corneal transplant,65-84 years,Male,North American Native,0.06,0.03,0.33,70.0,8700.0,37,-79.15925046299,35.466220975
Montana,Other Visual Disturbances,All Other visual disturbances,85 years and older,All genders,All races,0.02,0.01,0.62,60.0,3700.0,30,-109.4244206449,47.066528972
Puerto Rico,Glaucoma,Other/unspecified glaucoma,40 years and older,Male,"Hispanic, any race",0.16,0.13,0.18,160.0,104900.0,72,-66.590149,18.220833
North Carolina,"Injury, Burns and Surgical Complications of the Eye",Ocular burns,40-64 years,Female,North American Native,0.0,0.0,0.18,70.0,2100.0,37,-79.15925046299,35.466220975
Indiana,Orbital and External Disease,All Orbital and external disease,65 years and older,All genders,Other,1.6,0.95,2.51,20.0,1100.0,18,-86.14996019399,39.766910452
Oklahoma,Other Retinal Disorders,Occlusive retinal vascular disease,18 years and older,Male,North American Native,0.0,0.0,0.03,60.0,11300.0,40,-97.52107021399,35.472031356
New Mexico,Diabetic Eye Diseases,Severe non-proliferative,18-39 years,Female,Asian,0.07,0.04,0.29,80.0,11900.0,35,-106.2405809849,34.520880952
New Mexico,Cornea Disorders,Cornea disorder related to contact lens,40-64 years,All genders,"Black, non-Hispanic",0.07,0.02,0.22,80.0,4100.0,35,-106.2405809849,34.520880952
Louisiana,Other Retinal Disorders,Central retinal vein occlusion,65-84 years,All genders,"White, non-Hispanic",0.07,0.05,0.31,130.0,55200.0,22,-92.44568007099,31.312660644
Montana,Cornea Disorders,Other corneal disorders,18-39 years,Female,North American Native,0.21,0.13,0.32,20.0,9600.0,30,-109.4244206449,47.066528972
Kentucky,Other Eye Disorders,Other eye disorders,40 years and older,Female,"Black, non-Hispanic",1.67,1.48,1.89,260.0,15500.0,21,-84.77497104799,37.645970271
Ohio,Age Related Macular Degeneration,Dry-form age-related macular degeneration,85 years and older,Male,All races,3.85,1.94,6.78,10.0,290.0,39,-82.40426005599,40.060210141
Texas,Other Eye Disorders,Other eye disorders,65-84 years,All genders,"Black, non-Hispanic",2.62,1.2,4.91,120.0,340.0,48,-99.42677020599,31.827240407
Puerto Rico,Age Related Macular Degeneration,Vision threatening stage,65-84 years,Male,All races,0.08,0.03,0.17,90.0,8400.0,72,-66.590149,18.220833
Montana,Other Visual Disturbances,Visual field defect,40 years and older,All genders,Unknown,0.14,0.07,0.27,60.0,6900.0,30,-109.4244206449,47.066528972
Colorado,Other Retinal Disorders,Non-Occlusive retinal vascular disease,65 years and older,Female,"Hispanic, any race",0.08,0.04,0.34,80.0,11200.0,8,-106.1336109209,38.843840757
Georgia,Diabetic Eye Diseases,Severe non-proliferative,85 years and older,Female,"Black, non-Hispanic",0.0,0.0,1.7,90.0,220.0,13,-83.62758034599,32.839681093
Indiana,Orbital and External Disease,Other/unspecified orbital and external disease,65-84 years,All genders,Other,0.0,0.0,0.36,70.0,1000.0,18,-86.14996019399,39.766910452
New York,Orbital and External Disease,Other/unspecified orbital and external disease,65-84 years,Male,Asian,0.22,0.16,0.43,240.0,86100.0,36,-75.54397042699,42.827001032
South Carolina,Other Visual Disturbances,All Other visual disturbances,0-17 years,Female,"White, non-Hispanic",0.97,0.9,1.04,730.0,75200.0,45,-81.04537120699,33.998821303
New Mexico,Other Retinal Disorders,Macular edema (Cystoid or non-diabetic),65 years and older,Male,All races,0.0,0.0,1.79,80.0,200.0,35,-106.2405809849,34.520880952
Texas,Age Related Macular Degeneration,Early stage age-related macular degeneration,65 years and older,All genders,All races,0.5,0.29,0.78,20.0,3600.0,48,-99.42677020599,31.827240407
North Carolina,Age Related Macular Degeneration,All Age-related macular degeneration (AMD),18-39 years,All genders,Other,0.06,0.03,0.33,70.0,8700.0,37,-79.15925046299,35.466220975
Ohio,"Injury, Burns and Surgical Complications of the Eye",Ocular injury,85 years and older,All genders,North American Native,0.14,0.09,0.35,130.0,21500.0,39,-82.40426005599,40.060210141
